year,city,pop,lat,lon
2010,New York city,8175133,40.7128,-74.0059
2010,Los Angeles,3792621,34.0522,-118.2437
2010,Chicago,2695598,41.8781,-87.6298
2010,Houston,2099451,29.7604,-95.3698
2010,Philadelphia,1526006,39.9526,-75.1652
2010,San Diego,1307402,32.715738,-117.1610838
2010,Detroit,713777,42.3314,-83.0458
2010,Dallas,1197816,32.7766642,-96.7969879
2010,Phoenix,1445632,33.4483771,-112.0740373
2010,San Antonio,1327407,29.4241219,-98.4936282
2010,San Jose,945942,37.3382082,-121.8863286
2010,Baltimore,620961,39.2903848,-76.6121893
2010,Indianapolis,820445,39.768403,-86.158068
2010,San Francisco,805235,37.7749295,-122.4194155
2010,Jacksonville,821784,30.3321838,-81.655651
2010,Columbus,787033,39.9611755,-82.9987942
2010,Milwaukee,594833,43.0389025,-87.9064736
2010,Memphis,646889,35.1495343,-90.0489801
2010,Washington DC,601723,38.9071923,-77.0368707
2010,Boston,617594,42.3600825,-71.0588801
