PRIMKEY,COUNTRY,FIPSCODE,COWCODE,CONTCODE,SITENUM,NAME,LAT,LONG,RES,RESINFO,LOCSOURCE,FIELDINFO,DISC,DISCPRES,PROD,PRODPRES,OTHERINFO,SOURCEINFO,VERSION
LO001PET,Slovakia,LO,317,1,1,North Carpathian Basin,49.40,18.43,PET,oil and gas,"Pawlewicz et al., 2003",3,-9999,3,-9999,3,no confirmation of Petroleum Economist - no further information available,"Petroleum Economist, 2003",1.2
LO003PET,Slovakia,LO,317,1,3,Bohemia,48.68,17.34,PET,oil and gas,"Pawlewicz et al., 2003",3,1945,1,-9999,3,discovery in 1914 in that area - Malacky and Vysoka fields - no further information availbale,"Kulke, 1994 - Petroleum Economist, 2003",1.2
LO004PET,Slovakia,LO,317,1,4,Pannonian Basin,48.35,17.91,PET,gas,"Pawlewicz et al., 2003",3,-9999,3,-9999,3,no confirmation of Petroleum Economist - no further information available,"Petroleum Economist, 2003",1.2
LO002PET,Slovakia,LO,317,1,2,North Carpathian Basin,49.20,21.85,PET,oil,"Pawlewicz et al., 2003",4,1998,2,-9999,4,Mikova field found at least 1998 - the area was still under exploration in 2002,"Carpathian Resources Ltd, 2002 - Petroleum Economist, 2003",1.2
LO005PET,Slovakia,LO,317,1,5,Pannonian Basin,48.87,21.46,PET,oil and gas,"Pawlewicz et al., 2003",1,1996,2,1996,1,Trebisov field commenced production in 1996,"Kulke, 1994 - EuroGas Inc., 1996a",1.2
PE013PET,Peru,PE,135,5,13,Madre dos Dios Basin,-12.29,-69.86,PET,oil,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,Pariamanu field - no further information available,"Petroleum Economist, 2003",1.2
PE010PET,Peru,PE,135,5,10,Ucayali Basin,-9.80,-74.29,PET,gas,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,Runuya field - no further information available,"Petroleum Economist, 2003",1.2
PE009PET,Peru,PE,135,5,9,Ucayali Basin,-9.48,-73.59,PET,oil,"Petroleum Economist, 2003 - Klett et al., 1997",3,-9999,3,-9999,3,Sanuya field - no further information available,"Petroleum Economist, 2003",1.2
TD001PET,Trinidad and Tobago,TD,52,5,1,East Venezuela Basin,10.39,-61.30,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1945,1,first oil discovered in 1866 and production started in 1908,"DeLuca, 2002 - Geological Society of Trinidad and Tobago, year unknown - Kulke, 1995 - World Energy Council, 2001cb",1.2
NS001PET,Suriname,NS,115,5,1,Guyana-Suriname Basin,5.78,-55.59,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1981,1,1982,1,Tambaredjo field discovered in 1981 and came on stream in 1982,"World Energy Council, 2001bw - van Dijck et al., year unknown - Petroleum Economist, 2003",1.2
PE014PET,Peru,PE,135,5,14,Altiplano Basin,-15.38,-69.96,PET,oil and gas,"Schenk et al., 1999",2,1946,2,-9999,4,Pirin field stopped operating in 1946,"Kulke, 1995",1.2
PE008PET,Peru,PE,135,5,8,Ucayali Basin,-8.85,-74.72,PET,oil,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1945,1,1994,1,Agua Caliente field found in 1939 and has been operated by Maple since 1994,"Anonymous, 2001 - Maple, 2001 - Petroleum Economist, 2003",1.2
PE007PET,Peru,PE,135,5,7,Ucayali Basin,-8.37,-75.23,PET,gas,"Schenk et al., 1999 - Petroleum Economist, 2003",1,1961,1,1998,1,Aguaytia fields discovered in 1961 and the Aguaytia project started operating in 1998,"Anonymous, 2001 - EIA, 2003s - Petroleum Economist, 2003",1.2
