name,code,type,1969,1974,1979,1984,1989,1994,1999,2004,2009,2014
India,IND,"Birth rate, crude (per 1,000 people)",39.447,37.842,36.334,34.828,32.095,29.267,26.911,24.622,22.103,19.952
India,IND,"Population, total",541844848,607446519,681358553,764664278,852736160,942604211,1034976626,1126419321,1214182182,1295291543
United States,USA,"Birth rate, crude (per 1,000 people)",17.9,14.8,15.6,15.6,16.4,15,14.2,14,13.5,12.5
United States,USA,"Population, total",202677000,213854000,225055000,235825000,246819000,263126000,279040000,292805298,306771529,318857056
United Kingdom,GBR,"Birth rate, crude (per 1,000 people)",16.6,13.1,13.1,12.9,13.6,13,11.9,11.9,12.7,12
United Kingdom,GBR,"Population, total",55441750,56229974,56246951,56422072,57076711,57865745,58682466,59987905,62276270,64559135
Russian Federation,RUS,"Birth rate, crude (per 1,000 people)",14.831,15.507,15.8,16.9,14.6,9.5,8.3,10.4,12.3,13.3
Russian Federation,RUS,"Population, total",129664000,133432000,138027000,142745000,147721000,148336000,147214392,144067054,142785342,143819569
China,CHN,"Birth rate, crude (per 1,000 people)",34.11,24.82,17.82,19.9,21.58,17.7,14.64,12.29,12.13,12.4
China,CHN,"Population, total",796025000,900350000,969005000,1036825000,1118650000,1191835000,1252735000,1296075000,1331260000,1364270000
Japan,JPN,"Birth rate, crude (per 1,000 people)",18.5,18.4,14.1,12.5,10.2,10,9.3,8.693604565,8.5,8
Japan,JPN,"Population, total",103172000,110162000,115870000,120018000,123116000,124961000,126631000,127761000,128047000,127131800
Germany,DEU,"Birth rate, crude (per 1,000 people)",14.7,10.2,10.5,10.4,11.2,9.5,9.4,8.6,8.1,8.6
Germany,DEU,"Population, total",77909682,78967433,78126350,77858685,78751283,81438348,82100243,82516260,81902307,80970732
